fecha,total,masculinos,femeninos
2021-12-21,5395039,0,0
2021-12-22,5398915,0,0
2021-12-23,5415501,2647147,2725379
2021-12-24,5428957,2653306,2732664
2021-12-25,5445235,2660896,2741339
2021-12-26,5460042,2667835,2749192
2021-12-27,5480305,0,0
2021-12-28,5514206,2692657,2778494
2021-12-29,5556235,2711680,2801446
2021-12-30,5606741,2734363,2829211
2021-12-31,5654408,2756123,2855075
2022-01-01,5668562,2762701,2862635
2022-01-02,5669828,2763300,2863302
2022-01-03,5739322,2795740,2900272
2022-01-04,5820531,2833573,2943554
2022-01-05,5820531,2833573,2943554
2022-01-06,5863987,2853449,2967085
2022-01-07,6135819,2977620,3114384
2022-01-08,6237525,3024493,3169070
2022-01-09,6310844,3058859,3207963
2022-01-10,6399190,3100205,3254800
2022-01-11,6533629,3164142,3325115
2022-01-12,6595361,3193429,3357484
2022-01-13,6794571,3287962,3461871
2022-01-14,6859594,3318621,3496136
2022-01-15,7031253,3400106,3586077
2022-01-16,7070036,3418558,3606363
2022-01-17,7197323,3418558,3606363
2022-01-18,7318305,3506636,3705637
2022-01-19,7379602,3563357,3770731
2022-01-20,7576335,3563357,3770731
2022-01-21,7694506,3624018,3839747
2022-01-22,7792652,3681941,3906607
2022-01-23,7862536,3736196,3970414
2022-01-24,7940657,3755407,3993362
2022-01-25,7890685,3798952,4045556
2022-01-26,7942953,3822863,4073834
2022-01-27,8083289,3887757,4149141
2022-01-28,8165711,3925582,4193606
2022-01-29,8210155,3945922,4217641
2022-01-30,8299401,3986094,4266628
2022-01-31,8328770,3999279,4282767
2022-02-01,8349084,4008538,4293783
2022-02-02,8381106,4023076,4311274
2022-02-03,8515285,4023076,4311274
2022-02-04,8531106,4091457,4392657
2022-02-05,8577215,4091457,4392657
2022-02-06,8588420,4117908,4423366
2022-02-07,8615285,4117908,4423366
2022-02-08,8648075,4117908,4423366
2022-02-09,8645366,4144395,4453727
2022-02-10,8645366,4144395,4453727
2022-02-11,8696717,4168224,4481161
2022-02-12,8712806,4175621,4489826
2022-02-13,8723565,4180528,4495658
2022-02-14,8729566,4183275,4498896
2022-02-15,8742326,4189152,4505773
2022-02-16,8760597,4197784,4515398
2022-02-17,209261,102057,105581
2022-02-18,8793512,4213026,4533025
2022-02-19,8808587,4220102,4541021
2022-02-20,8816161,4223631,4545062
2022-02-21,8820426,4225628,4547322
2022-02-23,8848193,4238820,4561858
2022-02-24,8848193,4238820,4561858
2022-02-25,8870617,4249569,4573514
2022-02-26,8879960,4254059,4578346
2022-02-27,8885405,4256554,4581281
2022-03-01,8892323,4259784,4584962
2022-03-02,8895746,4261370,4586788
2022-03-03,8903761,4265250,4590905
2022-03-06,8925393,4275759,4602024
2022-03-07,8927599,4276734,4603249
2022-03-10,8946116,4285686,4612776
2022-03-12,8957676,4291326,4618711
2022-03-13,8960604,4292673,4620291
2022-03-14,8961803,4293252,4620907
2022-03-15,8966378,4295403,4623317
2022-03-16,8971369,4297794,4625921
2022-03-18,8980496,4302130,4630708
2022-03-19,8994878,4310924,4636290
2022-03-20,8996539,4311651,4637220
2022-03-21,8997729,4312251,4637809
2022-03-26,9011048,4318560,4644877
2022-03-26,9011048,4318560,4644877
2022-03-27,9014978,4320395,4646964
2022-03-28,9015772,4320766,4647387
2022-03-29,9018396,4322039,4648732
2022-03-30,203905,99434,102879
2022-03-31,9024697,4324963,4652104
2022-04-01,9027442,4326245,4653563
2022-04-02,9029323,4327101,4654587
2022-04-04,9030560,4327638,4655282
2022-04-06,9034699,4329578,4657467
2022-04-06,9034699,4329578,4657467
2022-04-07,9036737,4330542,4658538
2022-04-08,9038540,4331347,4659532
2022-04-09,9040501,4332217,4660620
2022-04-14,9047041,4335116,4664253
2022-04-15,9048431,4335716,4665040
2022-04-17,9049518,4336202,4665638
2022-04-18,9049915,4336378,4665859
2022-04-19,9049915,4336378,4665859
2022-04-21,9049915,4336378,4665859
2022-04-22,9049915,4336378,4665859
2022-04-23,9049915,4336378,4665859
2022-04-26,9060957,4341389,4671883
2022-04-26,9060957,4341389,4671883
2022-04-27,9060957,4341389,4671883
2022-04-28,9060957,4341389,4671883
2022-04-29,9060957,4341389,4671883
2022-05-01,9060957,4341389,4671883
2022-05-02,9072036,4346300,4678040
2022-05-03,9072036,4346300,4678040
2022-05-04,9072036,4346300,4678040
2022-05-05,9072036,4346300,4678040
2022-05-06,9072036,4346300,4678040
2022-05-07,9072036,4346300,4678040
2022-05-08,321132,157101,161469
2022-05-09,9088793,4353535,4687550
2022-05-10,9088793,4353535,4687550
2022-05-11,9088793,4353535,4687550
2022-05-12,9088793,4353535,4687550
2022-05-13,9088793,4353535,4687550
2022-05-14,9088793,4353535,4687550
2022-05-15,9088793,4353535,4687550
2022-05-16,9120470,4366761,4706024
2022-05-17,9120470,4366761,4706024
2022-05-18,9120470,4366761,4706024
2022-05-19,9120470,4366761,4706024
2022-05-19,281273,137340,141729
2022-05-20,9120470,4366761,4706024
2022-05-21,9120470,4366761,4706024
2022-05-22,9120470,4366761,4706024
2022-05-23,9159589,4382990,4728884
2022-05-25,9159589,4382990,4728884
2022-05-26,9159589,4382990,4728884
2022-05-27,9159589,4382990,4728884
2022-05-29,9159589,4382990,4728884
