fecha,total,masculinos,femeninos
2021-12-21,116930,0,0
2021-12-22,116934,0,0
2021-12-23,116964,66416,48355
2021-12-24,116979,66424,48362
2021-12-25,117008,66441,48374
2021-12-26,117035,66455,48387
2021-12-27,117066,0,0
2021-12-28,117085,66476,48415
2021-12-29,117111,66492,48425
2021-12-30,117146,66501,48450
2021-12-31,117169,66515,48459
2022-01-01,117181,66521,48465
2022-01-02,117198,66531,48472
2022-01-03,117245,66562,48488
2022-01-04,117294,66587,48512
2022-01-05,117294,66587,48512
2022-01-06,117315,66598,48522
2022-01-07,117428,66658,48575
2022-01-08,117465,66680,48590
2022-01-09,117492,66691,48606
2022-01-10,117543,66716,48632
2022-01-11,117595,66738,48662
2022-01-12,117607,66746,48666
2022-01-13,117808,66849,48764
2022-01-14,117825,66856,48774
2022-01-15,117990,66948,48847
2022-01-16,118006,66956,48855
2022-01-17,118231,66956,48855
2022-01-18,118420,67099,48995
2022-01-19,118628,67209,49088
2022-01-20,118809,67209,49088
2022-01-21,118969,67310,49171
2022-01-22,119103,67402,49247
2022-01-23,119168,67498,49348
2022-01-24,119444,67535,49372
2022-01-25,119213,67576,49439
2022-01-26,119447,67686,49563
2022-01-27,119800,67880,49720
2022-01-28,120123,68047,49873
2022-01-29,120356,68169,49982
2022-01-30,120780,68397,50176
2022-01-31,120948,68480,50260
2022-02-01,121041,68525,50309
2022-02-02,121277,68666,50401
2022-02-03,122152,68666,50401
2022-02-04,122255,69200,50840
2022-02-05,122584,69200,50840
2022-02-06,122687,69442,51028
2022-02-07,122943,69442,51028
2022-02-08,123227,69442,51028
2022-02-09,123233,69741,51271
2022-02-10,123233,69741,51271
2022-02-11,123713,70004,51485
2022-02-12,123865,70091,51549
2022-02-13,123993,70166,51602
2022-02-14,124087,70216,51645
2022-02-15,124355,70357,51771
2022-02-16,124592,70483,51881
2022-02-17,4283,2439,1789
2022-02-18,124930,70659,52040
2022-02-19,125068,70733,52105
2022-02-20,125191,70807,52155
2022-02-21,125284,70862,52193
2022-02-23,125624,71037,52355
2022-02-24,125624,71037,52355
2022-02-25,125878,71171,52474
2022-02-26,125964,71217,52514
2022-02-27,126054,71250,52570
2022-03-01,126158,71297,52625
2022-03-02,126263,71359,52668
2022-03-03,126396,71449,52711
2022-03-06,126715,71614,52864
2022-03-07,126775,71630,52908
2022-03-10,126962,71735,52989
2022-03-12,127058,71787,53033
2022-03-13,127129,71824,53067
2022-03-14,127193,71854,53100
2022-03-15,127263,71885,53139
2022-03-16,127301,71907,53155
2022-03-18,127369,71938,53192
2022-03-19,127445,71974,53232
2022-03-20,127489,71999,53251
2022-03-21,127501,72006,53256
2022-03-26,127787,72145,53399
2022-03-26,127787,72145,53399
2022-03-27,127911,72204,53464
2022-03-28,127916,72206,53467
2022-03-29,127950,72223,53484
2022-03-30,4191,2386,1750
2022-03-31,128003,72255,53505
2022-04-01,128025,72271,53511
2022-04-02,128058,72288,53527
2022-04-04,128071,72299,53529
2022-04-06,128112,72326,53543
2022-04-06,128112,72326,53543
2022-04-07,128151,72350,53558
2022-04-08,128165,72356,53566
2022-04-09,128201,72375,53583
2022-04-14,128292,72417,53631
2022-04-15,128313,72427,53641
2022-04-17,128351,72443,53663
